trade_date,vintage,open,high,low,close,chg_pct,total_vol_t,total_amt_cny,listed_vol_t,listed_amt_cny,block_vol_t,block_amt_cny,auction_vol_t,auction_amt_cny,source_month
2026-01-07,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-07,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-07,CEA24,76.39,76.39,76.39,76.39,0.0,101000.0,8361390.0,1000.0,76390.0,100000.0,8285000.0,0.0,0.0,2026-01
2026-01-07,CEA25,78.5,79.19,74.0,77.97,4.48,3269716.0,246907802.0,323311.0,25210113.5,2946405.0,221697688.0,0.0,0.0,2026-01
2026-01-08,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-08,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-08,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-08,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-08,CEA24,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-08,CEA25,78.0,83.0,78.0,78.61,0.82,763626.0,55228560.0,57000.0,4481000.0,706626.0,50747560.0,0.0,0.0,2026-01
2026-01-09,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-09,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-09,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-09,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-09,CEA24,73.5,78.0,73.0,73.93,3.22,268010.0,21027730.0,68010.0,5027730.0,200000.0,16000000.0,0.0,0.0,2026-01
2026-01-09,CEA25,78.0,78.0,72.5,75.96,3.37,179400.0,12031500.0,79400.0,6031500.0,100000.0,6000000.0,0.0,0.0,2026-01
2026-01-12,CEA19-20,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-12,CEA21,74.52,74.52,74.52,74.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-12,CEA22,76.39,76.39,76.39,76.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-12,CEA23,70.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-12,CEA24,73.93,73.93,73.93,73.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01
2026-01-12,CEA25,78.19,83.4,78.19,78.31,3.09,443930.0,32875097.0,43930.0,3440096.7,400000.0,29435000.0,0.0,0.0,2026-01
