trade_date,source,price_basis,open,high,low,close,close_vintage,listed_vol_t,listed_amt_cny,listed_vwap,block_vol_t,block_amt_cny,block_vwap,auction_vol_t,auction_amt_cny,total_vol_t,total_amt_cny,total_vwap,cum_vol_t,cum_amt_cny
2022-06-29,seee,listed,58.0,58.0,58.0,58.0,,10.0,580.0,58.0,0.0,0.0,,,,10.0,580.0,58.0,193506940.0,8463760440.02
2022-06-30,seee,listed,57.5,57.5,57.5,57.5,,10.0,575.0,57.5,0.0,0.0,,,,10.0,575.0,57.5,193506950.0,8463761015.02
2022-07-01,seee,listed,58.5,58.5,58.0,58.0,,124940.0,7246525.0,58.0,200000.0,11500000.0,57.5,,,324940.0,18746525.0,57.6923,193831890.0,8482507540.02
2022-07-04,seee,listed,59.0,59.0,59.0,59.0,,10.0,590.0,59.0,0.0,0.0,,,,10.0,590.0,59.0,193831900.0,8482508130.02
2022-07-05,seee,listed,57.5,57.5,57.5,57.5,,10000.0,575000.0,57.5,0.0,0.0,,,,10000.0,575000.0,57.5,193841900.0,8483083130.02
2022-07-06,seee,listed,58.0,58.0,55.0,57.27,,80031.0,4583589.6,57.2727,0.0,0.0,,,,80031.0,4583589.6,57.2727,193921931.0,8487666719.62
2022-07-07,seee,listed,59.0,59.0,59.0,59.0,,1000.0,59000.0,59.0,0.0,0.0,,,,1000.0,59000.0,59.0,193922931.0,8487725719.62
2022-07-08,seee,listed,60.0,60.0,57.0,57.02,,49200.0,2805180.5,57.0159,0.0,0.0,,,,49200.0,2805180.5,57.0159,193972131.0,8490530900.12
2022-07-11,seee,listed,58.0,58.0,58.0,58.0,,58.0,3364.0,58.0,0.0,0.0,,,,58.0,3364.0,58.0,193972189.0,8490534264.12
2022-07-12,seee,listed,58.0,58.0,58.0,58.0,,10.0,580.0,58.0,0.0,0.0,,,,10.0,580.0,58.0,193972199.0,8490534844.12
2022-07-13,seee,listed,59.1,59.1,59.1,59.1,,10.0,591.0,59.1,0.0,0.0,,,,10.0,591.0,59.1,193972209.0,8490535435.12
2022-07-14,seee,listed,57.0,58.0,57.0,57.26,,27446.0,1571526.46,57.2589,0.0,0.0,,,,27446.0,1571526.46,57.2589,193999655.0,8492106961.58
2022-07-15,seee,listed,60.0,60.0,57.9,58.24,,2500.0,145600.0,58.24,0.0,0.0,,,,2500.0,145600.0,58.24,194002155.0,8492252561.58
2022-07-18,seee,listed,58.6,58.6,57.6,57.6,,10010.0,576586.0,57.601,0.0,0.0,,,,10010.0,576586.0,57.601,194012165.0,8492829147.58
2022-07-19,seee,listed,57.4,57.4,57.4,57.4,,10000.0,574000.0,57.4,0.0,0.0,,,,10000.0,574000.0,57.4,194022165.0,8493403147.58
2022-07-20,seee,listed,56.8,58.22,56.0,57.34,,30044.0,1722664.0,57.338,0.0,0.0,,,,30044.0,1722664.0,57.338,194052209.0,8495125811.58
2022-07-21,seee,listed,58.22,58.22,58.22,58.22,,25000.0,1455500.0,58.22,150000.0,8925000.0,59.5,,,175000.0,10380500.0,59.3171,194227209.0,8505506311.58
2022-07-22,seee,listed,57.0,57.0,57.0,57.0,,10000.0,570000.0,57.0,0.0,0.0,,,,10000.0,570000.0,57.0,194237209.0,8506076311.58
2022-07-25,seee,listed,57.3,57.3,57.3,57.3,,100.0,5730.0,57.3,0.0,0.0,,,,100.0,5730.0,57.3,194237309.0,8506082041.58
2022-07-26,seee,listed,57.3,57.3,57.3,57.3,,100.0,5730.0,57.3,0.0,0.0,,,,100.0,5730.0,57.3,194237409.0,8506087771.58
2022-07-27,seee,listed,57.0,57.0,57.0,57.0,,250.0,14250.0,57.0,0.0,0.0,,,,250.0,14250.0,57.0,194237659.0,8506102021.58
2022-07-28,seee,listed,57.0,59.0,57.0,58.96,,61081.0,3601617.0,58.9646,150000.0,8895000.0,59.3,,,211081.0,12496617.0,59.2029,194448740.0,8518598638.58
2022-07-29,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,150000.0,9381000.0,62.54,,,150200.0,9392600.0,62.534,194598940.0,8527991238.58
2022-08-01,seee,listed,58.0,59.5,58.0,58.68,,2800.0,164300.0,58.6786,0.0,0.0,,,,2800.0,164300.0,58.6786,194601740.0,8528155538.58
2022-08-02,seee,listed,57.0,59.0,57.0,57.35,,1731.0,99267.0,57.3466,0.0,0.0,,,,1731.0,99267.0,57.3466,194603471.0,8528254805.58
2022-08-03,seee,listed,57.5,57.5,57.5,57.5,,500.0,28750.0,57.5,0.0,0.0,,,,500.0,28750.0,57.5,194603971.0,8528283555.58
2022-08-04,seee,listed,57.5,57.5,57.5,57.5,,500.0,28750.0,57.5,0.0,0.0,,,,500.0,28750.0,57.5,194604471.0,8528312305.58
2022-08-05,seee,listed,58.5,58.5,58.5,58.5,,68765.0,4022752.5,58.5,0.0,0.0,,,,68765.0,4022752.5,58.5,194673236.0,8532335058.08
2022-08-08,seee,listed,59.0,59.0,59.0,59.0,,3000.0,177000.0,59.0,0.0,0.0,,,,3000.0,177000.0,59.0,194676236.0,8532512058.08
2022-08-09,seee,listed,58.0,59.0,58.0,58.88,,1700.0,100100.0,58.8824,100000.0,4582000.0,45.82,,,101700.0,4682100.0,46.0383,194777936.0,8537194158.08
2022-08-10,seee,listed,58.0,58.0,58.0,58.0,,17300.0,1003400.0,58.0,0.0,0.0,,,,17300.0,1003400.0,58.0,194795236.0,8538197558.08
2022-08-11,seee,listed,58.0,58.0,58.0,58.0,,5200.0,301600.0,58.0,0.0,0.0,,,,5200.0,301600.0,58.0,194800436.0,8538499158.08
2022-08-12,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,121335.0,7098097.5,58.5,,,121535.0,7109697.5,58.4992,194921971.0,8545608855.58
2022-08-15,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,194922171.0,8545620455.58
2022-08-16,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,194922371.0,8545632055.58
2022-08-17,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,194922571.0,8545643655.58
2022-08-18,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,194922771.0,8545655255.58
2022-08-19,seee,listed,58.0,58.0,58.0,58.0,,80000.0,4640000.0,58.0,0.0,0.0,,,,80000.0,4640000.0,58.0,195002771.0,8550295255.58
2022-08-22,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,195002971.0,8550306855.58
2022-08-23,seee,listed,58.8,59.5,58.8,58.8,,12002.0,705719.0,58.8001,0.0,0.0,,,,12002.0,705719.0,58.8001,195014973.0,8551012574.58
2022-08-24,seee,listed,58.5,58.5,58.0,58.42,,118.0,6894.0,58.4237,0.0,0.0,,,,118.0,6894.0,58.4237,195015091.0,8551019468.58
2022-08-25,seee,listed,58.5,58.5,58.5,58.5,,100.0,5850.0,58.5,0.0,0.0,,,,100.0,5850.0,58.5,195015191.0,8551025318.58
2022-08-26,seee,listed,58.5,58.5,58.5,58.5,,668.0,39078.0,58.5,0.0,0.0,,,,668.0,39078.0,58.5,195015859.0,8551064396.58
2022-08-29,seee,listed,58.5,58.5,58.5,58.5,,668.0,39078.0,58.5,130000.0,7605000.0,58.5,,,130668.0,7644078.0,58.5,195146527.0,8558708474.58
2022-08-30,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,195146727.0,8558720074.58
2022-08-31,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,195146927.0,8558731674.58
2022-09-01,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,195147127.0,8558743274.58
2022-09-02,seee,listed,58.0,58.0,58.0,58.0,,200.0,11600.0,58.0,0.0,0.0,,,,200.0,11600.0,58.0,195147327.0,8558754874.58
2022-09-05,seee,listed,58.5,58.5,58.5,58.5,,10.0,585.0,58.5,0.0,0.0,,,,10.0,585.0,58.5,195147337.0,8558755459.58
2022-09-06,seee,listed,58.5,59.0,58.5,58.98,,2100.0,123850.0,58.9762,0.0,0.0,,,,2100.0,123850.0,58.9762,195149437.0,8558879309.58
2022-09-07,seee,listed,58.5,59.0,58.5,58.99,,6090.0,359260.0,58.9918,0.0,0.0,,,,6090.0,359260.0,58.9918,195155527.0,8559238569.58
2022-09-08,seee,listed,58.5,58.5,58.5,58.5,,100.0,5850.0,58.5,0.0,0.0,,,,100.0,5850.0,58.5,195155627.0,8559244419.58
2022-09-09,seee,listed,58.0,58.0,58.0,58.0,,100.0,5800.0,58.0,0.0,0.0,,,,100.0,5800.0,58.0,195155727.0,8559250219.58
2022-09-13,seee,listed,58.0,58.0,58.0,58.0,,100.0,5800.0,58.0,0.0,0.0,,,,100.0,5800.0,58.0,195155827.0,8559256019.58
2022-09-14,seee,listed,58.5,58.5,58.5,58.5,,100.0,5850.0,58.5,0.0,0.0,,,,100.0,5850.0,58.5,195155927.0,8559261869.58
2022-09-15,seee,listed,58.0,58.0,58.0,58.0,,100.0,5800.0,58.0,0.0,0.0,,,,100.0,5800.0,58.0,195156027.0,8559267669.58
