cell_id,lat,lon,land_frac,in_province,dist_to_province,offshore_zone,retain,w_uniform,w_province,w_wind,w_solar,cap_source
152,37.5,119.75,0.0,0.0018,0.0,1,1,1.0,0.0018,0.0018,0.0018,fallback:w_province
153,37.5,120.0,0.0,0.2152,0.0,1,1,1.0,0.2152,0.2152,0.2152,fallback:w_province
154,37.5,120.25,0.0,0.8056,0.0,1,1,1.0,0.8056,0.8056,0.8056,fallback:w_province
155,37.5,120.5,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
156,37.5,120.75,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
157,37.5,121.0,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
158,37.5,121.25,1.0,0.8795,0.0,1,1,1.0,0.8795,0.8795,0.8795,fallback:w_province
159,37.5,121.5,0.0,0.5052,0.0,1,1,1.0,0.5052,0.5052,0.5052,fallback:w_province
160,37.5,121.75,0.0,0.3921,0.0,1,1,1.0,0.3921,0.3921,0.3921,fallback:w_province
161,37.5,122.0,0.0,0.5408,0.0,1,1,1.0,0.5408,0.5408,0.5408,fallback:w_province
162,37.5,122.25,0.0,0.3182,0.0,1,1,1.0,0.3182,0.3182,0.3182,fallback:w_province
163,37.5,122.5,0.0,0.1683,0.0,1,1,1.0,0.1683,0.1683,0.1683,fallback:w_province
164,37.5,122.75,0.0,0.0543,0.0,1,1,1.0,0.0543,0.0543,0.0543,fallback:w_province
165,37.25,114.75,1.0,0.0,0.6915,0,0,0.0,0.0,0.0,0.0,fallback:w_province
166,37.25,115.0,1.0,0.0,0.5089,0,0,0.0,0.0,0.0,0.0,fallback:w_province
167,37.25,115.25,1.0,0.0,0.3781,0,0,0.0,0.0,0.0,0.0,fallback:w_province
168,37.25,115.5,1.0,0.0,0.2022,0,0,0.0,0.0,0.0,0.0,fallback:w_province
169,37.25,115.75,1.0,0.0,0.0044,0,0,0.0,0.0,0.0,0.0,fallback:w_province
170,37.25,116.0,1.0,0.6869,0.0,0,1,1.0,0.6869,0.6869,0.6869,fallback:w_province
171,37.25,116.25,1.0,0.9896,0.0,0,1,1.0,0.9896,0.9896,0.9896,fallback:w_province
172,37.25,116.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
173,37.25,116.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
174,37.25,117.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
175,37.25,117.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
176,37.25,117.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
177,37.25,117.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
178,37.25,118.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
179,37.25,118.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
180,37.25,118.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
181,37.25,118.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
182,37.25,119.0,1.0,0.7913,0.0,0,1,1.0,0.7913,0.7913,0.7913,fallback:w_province
183,37.25,119.25,0.0,0.2982,0.0,0,1,1.0,0.2982,0.2982,0.2982,fallback:w_province
184,37.25,119.5,0.0,0.0217,0.0,1,1,1.0,0.0217,0.0217,0.0217,fallback:w_province
185,37.25,119.75,0.0,0.2216,0.0,1,1,1.0,0.2216,0.2216,0.2216,fallback:w_province
186,37.25,120.0,1.0,0.9882,0.0,1,1,1.0,0.9882,0.9882,0.9882,fallback:w_province
187,37.25,120.25,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
188,37.25,120.5,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
189,37.25,120.75,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
190,37.25,121.0,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
191,37.25,121.25,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
192,37.25,121.5,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
193,37.25,121.75,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
194,37.25,122.0,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
195,37.25,122.25,1.0,1.0,0.0,1,1,1.0,1.0,1.0,1.0,fallback:w_province
196,37.25,122.5,1.0,0.8399,0.0,1,1,1.0,0.8399,0.8399,0.8399,fallback:w_province
197,37.25,122.75,0.0,0.0009,0.0,1,1,1.0,0.0009,0.0009,0.0009,fallback:w_province
198,37.0,114.75,1.0,0.0,0.5384,0,0,0.0,0.0,0.0,0.0,fallback:w_province
199,37.0,115.0,1.0,0.0,0.338,0,0,0.0,0.0,0.0,0.0,fallback:w_province
200,37.0,115.25,1.0,0.0,0.1555,0,0,0.0,0.0,0.0,0.0,fallback:w_province
201,37.0,115.5,1.0,0.0,0.0721,0,0,0.0,0.0,0.0,0.0,fallback:w_province
202,37.0,115.75,1.0,0.2783,0.0,0,1,1.0,0.2783,0.2783,0.2783,fallback:w_province
203,37.0,116.0,1.0,0.9975,0.0,0,1,1.0,0.9975,0.9975,0.9975,fallback:w_province
204,37.0,116.25,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
205,37.0,116.5,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
206,37.0,116.75,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
207,37.0,117.0,1.0,1.0,0.0,0,1,1.0,1.0,1.0,1.0,fallback:w_province
