latitude,longitude,capacity_mw,capacity_std_mw,hub_height_m,class,first_operating_quarter,water_depth_m,nation
34.262778,120.57857,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q3,-14.0,China
34.269875,120.566532,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2018Q4,-13.0,China
34.274815,120.580636,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q2,-14.0,China
34.279127,120.573539,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q2,-14.0,China
34.294578,120.570036,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q4,-14.0,China
34.266371,120.572551,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q2,-13.0,China
34.279127,120.595638,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q4,-14.0,China
34.286853,120.582792,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q4,-14.0,China
34.266192,120.595009,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q3,-14.0,China
34.273468,120.560604,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q1,-13.0,China
34.255681,120.590428,3.379125344036158,0.1913811592356454,83.43310296040067,owt,Y2019Q2,-13.0,China
