latitude,longitude,installation_year,sea_name,water_depth_m,distance_to_shore_km
37.878251,121.891376,2023,Yellow Sea,-32.34,47.54
37.876765,121.902865,2023,Yellow Sea,-33.33,46.81
37.875399,121.913212,2023,Yellow Sea,-33.33,46.17
37.95946,121.86652,2023,Yellow Sea,-40.42,57.35
37.906092,121.898038,2023,Yellow Sea,-36.45,50.81
37.893477,121.883329,2023,Yellow Sea,-34.33,49.86
38.158305,122.161122,2025,Yellow Sea,-51.37,73.17
38.158716,122.170234,2025,Yellow Sea,-51.37,73.11
38.157987,122.151982,2025,Yellow Sea,-52.37,73.22
38.156794,122.143124,2025,Yellow Sea,-53.23,73.42
38.15643,122.134031,2025,Yellow Sea,-53.38,73.51
38.155577,122.125054,2025,Yellow Sea,-53.38,73.68
38.154909,122.116028,2025,Yellow Sea,-53.37,73.84
38.154245,122.107064,2025,Yellow Sea,-53.37,74.01
38.153586,122.098009,2025,Yellow Sea,-53.37,74.19
38.146969,122.178311,2025,Yellow Sea,-53.37,74.79
38.145893,122.165676,2025,Yellow Sea,-53.37,74.93
38.145114,122.153148,2025,Yellow Sea,-54.37,75.04
38.144039,122.140637,2025,Yellow Sea,-54.37,75.23
38.143174,122.128041,2025,Yellow Sea,-54.37,75.41
38.141964,122.115541,2025,Yellow Sea,-53.36,75.67
38.141606,122.102843,2025,Yellow Sea,-53.37,75.83
38.134846,122.186487,2025,Yellow Sea,-54.37,76.53
38.134043,122.173331,2025,Yellow Sea,-54.37,76.61
38.132759,122.160233,2025,Yellow Sea,-56.22,76.79
38.131938,122.147157,2025,Yellow Sea,-56.36,76.92
38.131068,122.134006,2025,Yellow Sea,-55.5,77.09
38.128917,122.107838,2025,Yellow Sea,-54.36,77.57
38.122473,122.19274,2025,Yellow Sea,-53.37,78.31
38.121519,122.179473,2025,Yellow Sea,-54.36,77.99
38.120728,122.166108,2025,Yellow Sea,-55.36,77.68
38.119493,122.152907,2025,Yellow Sea,-57.22,77.33
38.11896,122.139507,2025,Yellow Sea,-58.36,77.11
38.117625,122.126294,2025,Yellow Sea,-57.35,76.81
38.116691,122.113035,2025,Yellow Sea,-57.35,76.59
38.113719,122.147191,2025,Yellow Sea,-58.21,76.45
38.109235,122.181474,2025,Yellow Sea,-54.22,76.3
38.109768,122.192736,2025,Yellow Sea,-53.22,76.57
38.108428,122.170208,2025,Yellow Sea,-55.22,76.01
38.107432,122.159071,2025,Yellow Sea,-56.36,75.71
38.106677,122.147752,2025,Yellow Sea,-58.21,75.47
38.097523,122.192649,2025,Yellow Sea,-53.21,74.86
38.096753,122.181808,2025,Yellow Sea,-54.21,74.56
38.084665,122.19259,2025,Yellow Sea,-52.21,73.07
38.095675,122.170806,2025,Yellow Sea,-55.21,74.23
38.083999,122.183504,2025,Yellow Sea,-53.2,72.81
34.319338,120.613126,2020,Yellow Sea,-15.27,34.5
34.319286,120.601375,2020,Yellow Sea,-15.14,33.2
34.319204,120.595519,2020,Yellow Sea,-15.15,32.55
34.319401,120.636671,2020,Yellow Sea,-16.09,37.12
34.319015,120.660273,2020,Yellow Sea,-15.9,39.74
34.318974,120.689668,2020,Yellow Sea,-17,43.01
34.318873,120.695567,2020,Yellow Sea,-17,43.67
34.31895,120.701446,2020,Yellow Sea,-17,44.32
34.318707,120.707377,2020,Yellow Sea,-16.99,44.98
34.318971,120.60732,2020,Yellow Sea,-15.13,33.86
34.318904,120.648516,2020,Yellow Sea,-16.06,38.44
34.31888,120.677895,2020,Yellow Sea,-16.02,41.7
34.318881,120.654325,2020,Yellow Sea,-16.05,39.08
34.318522,120.713239,2020,Yellow Sea,-16.99,45.63
34.314444,120.602059,2020,Yellow Sea,-15.14,33.24
34.30717,120.620853,2020,Yellow Sea,-16.12,35.32
34.307029,120.642017,2020,Yellow Sea,-17.09,37.67
34.307041,120.650322,2020,Yellow Sea,-16.08,38.6
34.306889,120.659155,2020,Yellow Sea,-15.06,39.58
34.306789,120.677898,2020,Yellow Sea,-16.03,41.67
34.306718,120.687958,2020,Yellow Sea,-16.17,42.79
34.306404,120.706676,2020,Yellow Sea,-17.01,44.87
34.306725,120.698033,2020,Yellow Sea,-17.01,43.91
34.30653,120.72246,2020,Yellow Sea,-17,46.63
34.306539,120.738096,2020,Yellow Sea,-16.98,48.37
34.30664,120.668236,2020,Yellow Sea,-15.05,40.59
34.306461,120.714577,2020,Yellow Sea,-17,45.75
34.306444,120.730363,2020,Yellow Sea,-16.99,47.51
34.302377,120.557095,2020,Yellow Sea,-15.23,28.22
34.296233,120.544858,2020,Yellow Sea,-15.28,26.89
34.295053,120.67,2020,Yellow Sea,-16.06,40.81
34.294968,120.639846,2020,Yellow Sea,-15.25,37.46
34.294881,120.660918,2020,Yellow Sea,-16.07,39.8
34.294915,120.653937,2020,Yellow Sea,-16.08,39.03
34.294664,120.56993,2020,Yellow Sea,-15.18,29.69
34.294664,120.678886,2020,Yellow Sea,-16.05,41.8
34.294475,120.696742,2020,Yellow Sea,-17.03,43.79
34.294656,120.706197,2020,Yellow Sea,-17.02,44.84
34.294464,120.724609,2020,Yellow Sea,-17.01,46.89
34.294711,120.646889,2020,Yellow Sea,-16.1,38.24
34.294531,120.716073,2020,Yellow Sea,-17.02,45.94
34.294538,120.74147,2020,Yellow Sea,-16.99,48.77
34.294457,120.733463,2020,Yellow Sea,-17,47.88
34.294287,120.749428,2020,Yellow Sea,-16.98,49.65
34.29435,120.75703,2020,Yellow Sea,-16.96,50.5
34.292027,120.551973,2020,Yellow Sea,-15.26,27.71
34.287864,120.559105,2020,Yellow Sea,-15.22,28.55
34.287164,120.582745,2020,Yellow Sea,-16.3,31.18
34.282933,120.654158,2020,Yellow Sea,-17.09,39.15
34.282993,120.691082,2020,Yellow Sea,-17.05,43.24
34.28286,120.660341,2020,Yellow Sea,-17.08,39.83
34.2828,120.666503,2020,Yellow Sea,-17.08,40.52
34.282853,120.672626,2020,Yellow Sea,-17.07,41.2
34.282734,120.703422,2020,Yellow Sea,-17.04,44.62
34.282358,120.697347,2020,Yellow Sea,-17.04,43.95
