trade_date,listed_vwap,block_vwap,block_discount_pct,block_vol_t
2024-11-19,104.8225,88.978,-15.116,2809409.0
2024-11-20,104.7102,92.2256,-11.923,1686169.0
2024-11-21,104.6966,90.3935,-13.661,2769996.0
2024-11-22,104.7741,94.8101,-9.51,3342070.0
2024-11-25,104.2924,91.8502,-11.93,4298525.0
2024-11-26,103.0439,97.2208,-5.651,4832059.0
2024-11-27,103.1645,95.1997,-7.72,4986712.0
2024-11-28,102.2575,92.3604,-9.679,2715932.0
2024-11-29,101.3103,98.4595,-2.814,5880586.0
2024-12-02,99.9387,97.271,-2.669,4181699.0
2024-12-03,99.1713,97.0752,-2.114,2568656.0
2024-12-04,98.9256,96.7143,-2.235,3468673.0
2024-12-05,99.8197,91.3515,-8.483,1356125.0
2024-12-06,99.494,98.819,-0.678,1952880.0
2024-12-09,99.7898,101.1456,1.359,5677325.0
2024-12-10,99.7358,99.5074,-0.229,8684118.0
2024-12-11,99.6577,97.3676,-2.298,8265953.0
2024-12-12,99.4667,98.9239,-0.546,8504320.0
2024-12-13,99.3524,97.5307,-1.834,4617079.0
2024-12-16,97.3029,98.0103,0.727,2283600.0
2024-12-17,95.4436,95.6667,0.234,480000.0
2024-12-18,96.2169,94.6443,-1.634,2160913.0
2024-12-19,97.7256,97.902,0.181,2402807.0
2024-12-20,98.3283,97.2332,-1.114,1756083.0
2024-12-23,98.5295,91.5173,-7.117,1309732.0
2024-12-24,97.5259,98.0,0.486,252000.0
2024-12-25,97.2157,98.9639,1.798,274933.0
2024-12-26,97.2069,97.0501,-0.161,1040200.0
2024-12-27,96.9021,97.4306,0.545,592666.0
2025-01-20,93.2,93.2,0.0,200000.0
2025-01-21,92.0,90.0,-2.174,1000000.0
2025-02-14,90.5121,92.4,2.086,200000.0
2025-02-28,88.7413,83.5,-5.906,100000.0
2025-03-03,88.7413,83.5,-5.906,100000.0
2025-03-04,88.0,88.74,0.841,100000.0
2025-03-06,89.99,86.5,-3.878,100000.0
2025-03-11,85.0,87.5,2.941,200000.0
2025-03-14,87.0,85.5,-1.724,100000.0
2025-03-17,88.0,86.0,-2.273,100000.0
2025-03-21,85.6523,85.0,-0.762,118941.0
2025-03-25,83.2955,84.5,1.446,150000.0
2025-03-26,85.3382,85.7,0.424,150000.0
2025-03-27,84.3684,77.5,-8.141,200000.0
2025-03-31,84.0,76.0,-9.524,1000000.0
2025-04-01,83.5157,84.5,1.179,100000.0
2025-04-02,83.22,79.5,-4.47,200000.0
2025-04-03,83.1,70.0838,-15.663,263489.0
2025-04-10,83.0948,81.9293,-1.403,282926.0
2025-04-14,82.3765,79.0,-4.099,100000.0
2025-04-15,82.6961,81.8,-1.084,100000.0
2025-04-17,80.4474,81.0,0.687,100000.0
2025-04-18,79.0279,85.458,8.136,500000.0
2025-04-21,78.3038,79.0,0.889,140000.0
2025-04-22,77.3793,83.33,7.69,300000.0
2025-04-24,76.0553,76.0,-0.073,155000.0
2025-04-25,75.0295,75.3333,0.405,300000.0
2025-04-28,73.6369,71.6176,-2.742,340000.0
2025-04-29,72.7745,73.6433,1.194,450000.0
2025-04-30,70.106,69.0567,-1.497,712305.0
2025-05-06,70.013,70.0,-0.019,300000.0
2025-05-07,70.0,69.95,-0.071,200000.0
2025-05-08,70.3453,69.9,-0.633,100000.0
2025-05-09,70.301,69.5,-1.139,150000.0
2025-05-12,70.5044,71.0,0.703,200000.0
2025-05-13,70.5015,74.5147,5.692,1782098.0
2025-05-14,70.8168,70.6,-0.306,200000.0
2025-05-15,70.9321,68.0,-4.134,300000.0
2025-05-16,71.001,70.99,-0.015,100000.0
2025-05-20,70.956,67.9571,-4.226,700000.0
2025-05-21,70.9629,71.2526,0.408,786111.0
2025-05-22,70.0296,71.7739,2.491,247906.0
2025-05-23,70.4161,73.5452,4.444,420000.0
2025-05-26,69.6934,70.5714,1.26,350000.0
2025-05-27,68.9831,69.5,0.749,200000.0
2025-05-28,68.9183,68.452,-0.677,240500.0
2025-05-29,68.4818,64.5631,-5.722,253914.0
2025-05-30,68.2591,69.2,1.378,300000.0
2025-06-03,67.5085,68.2667,1.123,300000.0
2025-06-04,67.5815,68.1,0.767,110000.0
2025-06-05,68.6418,58.8711,-14.234,270000.0
2025-06-06,68.9644,68.4522,-0.743,1150000.0
2025-06-09,68.6388,68.8,0.235,600000.0
2025-06-10,68.5883,68.998,0.597,990000.0
2025-06-11,69.365,69.6312,0.384,640000.0
2025-06-12,70.0828,70.0,-0.118,100000.0
2025-06-13,71.0276,71.2,0.243,420000.0
2025-06-16,73.1045,69.04,-5.56,160000.0
2025-06-17,73.716,67.8813,-7.915,750000.0
2025-06-19,74.8282,73.6364,-1.593,550000.0
2025-06-20,73.7016,72.9308,-1.046,650000.0
2025-06-23,75.2883,68.0,-9.681,469000.0
2025-06-24,74.8682,80.0807,6.962,1425000.0
2025-06-25,75.4592,77.7391,3.021,345000.0
2025-06-26,77.1822,71.7584,-7.027,1465540.0
2025-06-27,77.5297,73.9719,-4.589,1002000.0
2025-06-30,73.0615,64.6667,-11.49,300000.0
2025-07-01,74.2227,73.9688,-0.342,480000.0
2025-07-02,72.7394,73.68,1.293,250000.0
2025-07-03,74.1432,74.0,-0.193,101104.0
2025-07-04,74.4036,74.0,-0.542,250000.0
2025-07-09,74.5732,77.8229,4.358,527161.0
2025-07-10,74.8897,71.908,-3.981,330359.0
2025-07-11,74.4843,74.0083,-0.639,201673.0
2025-07-16,73.8488,74.2977,0.608,525000.0
2025-07-17,74.0475,69.36,-6.33,300000.0
2025-07-18,73.4012,74.8,1.906,100000.0
2025-07-21,74.5619,74.0,-0.754,500000.0
2025-07-22,74.4865,70.12,-5.862,900000.0
2025-07-23,74.609,60.9355,-18.327,223000.0
2025-07-24,74.4799,70.81,-4.927,124187.0
2025-07-28,74.0377,70.7,-4.508,200000.0
2025-07-29,73.2909,73.4779,0.255,406430.0
2025-07-30,73.9169,72.92,-1.349,100000.0
2025-07-31,72.9558,71.2373,-2.356,375550.0
2025-08-01,73.4397,75.1436,2.32,412621.0
2025-08-04,73.9537,72.92,-1.398,100000.0
2025-08-05,73.4408,65.2877,-11.102,897122.0
2025-08-06,73.0819,71.0332,-2.803,1239300.0
2025-08-07,73.1418,55.0,-24.804,100000.0
2025-08-08,73.1233,73.0,-0.169,100000.0
2025-08-11,72.8456,55.248,-24.157,745654.0
2025-08-12,71.7504,74.5,3.832,190289.0
2025-08-13,72.4503,74.0,2.139,100000.0
2025-08-14,72.4117,71.4,-1.397,200000.0
2025-08-15,72.1576,72.3461,0.261,720000.0
2025-08-18,71.0304,71.6,0.802,300000.0
2025-08-20,70.6218,70.3597,-0.371,869791.0
2025-08-21,70.1317,67.57,-3.653,103632.0
2025-08-26,69.469,69.75,0.404,200000.0
2025-08-27,69.7496,65.7566,-5.725,1716752.0
2025-08-28,69.3033,67.8358,-2.118,897184.0
2025-08-29,69.2165,68.2676,-1.371,1180939.0
2025-09-01,69.2651,70.1061,1.214,317000.0
2025-09-02,68.5122,56.5684,-17.433,1159450.0
2025-09-03,68.359,63.7515,-6.74,2481256.0
2025-09-04,67.4522,65.9142,-2.28,2001510.0
2025-09-05,65.3878,66.5,1.701,295077.0
2025-09-08,62.5256,66.18,5.845,322120.0
2025-09-09,61.8288,62.8333,1.625,818000.0
2025-09-10,60.5642,63.7971,5.338,957741.0
2025-09-11,60.2863,62.877,4.297,717000.0
2025-09-12,60.1986,61.5107,2.18,748490.0
2025-09-15,59.9072,73.4,22.523,388000.0
2025-09-16,58.4589,66.7276,14.144,1317065.0
2025-09-18,56.7895,56.9382,0.262,978180.0
2025-09-19,55.5037,63.6181,14.62,719209.0
2025-09-22,54.9701,55.4,0.782,100000.0
2025-09-23,55.7942,59.8844,7.331,1120696.0
2025-09-24,56.8558,71.9,26.46,630000.0
2025-09-25,57.5744,65.3779,13.554,844819.0
2025-09-26,55.8933,59.2671,6.036,1833827.0
2025-09-29,54.5658,58.9626,8.058,1164669.0
2025-09-30,53.2898,58.5125,9.801,2546005.0
2025-10-09,55.0,59.06,7.382,200000.0
2025-10-10,54.1004,56.64,4.694,300000.0
2025-10-13,50.8353,61.7789,21.528,942254.0
2025-10-14,48.8802,40.01,-18.147,506100.0
2025-10-15,46.6533,58.0525,24.434,2116970.0
2025-10-16,45.3103,49.6228,9.518,2293709.0
2025-10-17,40.1229,42.7032,6.431,2913389.0
2025-10-20,38.4983,46.1514,19.879,723450.0
